Wavelength / nm	364.0 nm	375.0 nm	385 nm LUXEOSTAR 100mA	385 nm LUXEOSTAR 500mA	400 nm LUXEOSTAR 36mA	400 nm LUXEOSTAR 500mA	409.0 nm	416.0 nm	420 nm LUXEOSTAR 100mA	420 nm LUXEOSTAR 500mA	424.0 nm	439.0 nm	443.0 nm	452 nm LUXEOSTAR 30mA	452 nm LUXEOSTAR 100mA	452 nm LUXEOSTAR 500mA	472.0 nm	496.0 nm	505.0 nm	509.0 nm	513.0 nm	519.0 nm	521.0 nm	530 nm LUXEOSTAR 50 mA	532.0 nm	536.0 nm	540.0 nm	593.0 nm	613.0 nm	634.0 nm	639.0 nm	651 nm LUXEOSTAR 11 mA	651.0 nm	655.0 nm	669.0 nm	681.0 nm	687.0 nm	701.0 nm	734.0 nm	772.0 nm	811.0 nm	855.0 nm
200.0	-1.4293988566527448e-05	-3.270314612432654e-06	-5.550547120424841e-05	-9.468207376947578e-05	-9.122207070912397e-05	-5.5550584180296295e-05	-1.9063564610316312e-05	-4.075556663647929e-05	-5.906061163004162e-05	-6.744307834374571e-05	-1.8052697181171565e-05	4.751158950734192e-05	-2.5171422512245626e-05	-5.1281970809447926e-05	-6.116883958829602e-05	-4.636974192933017e-05	-2.3744486401496003e-05	-1.4164045436074027e-05	-5.779248226698293e-06	5.214570745438442e-06	-7.858079487821969e-05	-1.3147935526837592e-05	1.7128957191423534e-05	-1.2461252441982204e-05	-1.069109140280424e-05	3.091104162900983e-05	8.30668076071715e-05	5.950738795944823e-05	-6.573235251211255e-05	4.628900273455583e-06	2.5235916372366065e-05	-1.4294318660759512e-05	-6.593776014701845e-05	9.849109994749073e-05	6.905325586600895e-05	-3.317418596865559e-05	-2.7314352600744133e-06	1.3844853156058602e-05	5.8806981596575695e-05	3.251759863960258e-05	-5.0202024601252965e-05	0.0003700627643234479
201.0	-1.5229007575971754e-05	-1.171223191016871e-06	-8.739765150477044e-05	-7.238812505044451e-05	-5.226390469023462e-05	-5.212032279174066e-05	-1.4758493955044012e-05	-1.2157171930505078e-05	-9.448968867451846e-05	-5.587473051348767e-05	-1.6134790451970526e-05	4.293953306040323e-05	-2.0868764690541216e-05	-4.773105973399041e-05	-2.3161220914910613e-05	-3.934757000666535e-05	-2.1486480263306748e-05	-1.1322072767395473e-05	-5.530736686985779e-05	1.747698808735844e-05	-3.941848143008196e-05	1.912075215534499e-05	3.603697530521548e-05	-1.0855609790631418e-05	-2.579371799955844e-07	2.7240314924611613e-05	0.0001280680285296115	8.492154171054873e-05	-1.1284470443959014e-05	7.348256870936156e-06	5.35562195710905e-05	-1.2079241255366496e-05	-0.00018118886737299685	6.283730440663265e-05	2.2451394271065797e-05	2.177017744059492e-06	2.0622792856483453e-05	1.5267912830411213e-05	6.626210557918484e-05	2.477676032925154e-05	9.623573427721878e-05	0.00048472250134829224
202.0	-1.4558608861488152e-05	2.1506452142530737e-06	-7.57228355019009e-05	-8.975666649434039e-05	-5.926237762775998e-05	-5.7265714874573886e-05	-1.0342589777003778e-05	-8.026944335714788e-06	-3.697211297885569e-05	-6.912574711905629e-05	-1.4188566858140431e-05	-1.892127499128271e-06	-1.5794273005683816e-05	-5.225040110275456e-05	-3.691770976311364e-05	-2.797165149194831e-05	-1.7765047432409248e-05	-9.618739104411619e-06	-0.00011051502353166668	-1.2451530707235124e-05	-1.5218675708532292e-05	-8.725785207832196e-06	3.085338532225544e-05	-1.5443160223062422e-05	-8.449405633135874e-06	-5.922565111567856e-06	4.4623523367731196e-05	7.393183707840718e-05	-4.242624714097349e-05	3.877728840045708e-06	5.0016614592862154e-05	-1.8133786163440453e-05	-0.00032566974111407907	-2.9334867158470804e-05	-4.379527361939984e-05	6.21246364267902e-06	-1.2992224785393101e-06	-2.522571913872711e-05	-8.770503590254579e-06	-2.8360103981728185e-05	8.980076150783461e-05	-0.0002238358147375708
203.0	-1.1504123959507666e-05	4.930199517412615e-06	-6.262426144990063e-05	-9.520053769317371e-05	-7.209291134655557e-05	-5.851308265223069e-05	-8.187072020206427e-06	-3.82696051916823e-05	-6.977681394596379e-05	-4.9775056202987357e-05	-1.184619327352141e-05	-6.042294857722074e-05	-1.0900569465332541e-05	-6.209610908470521e-05	-4.329958603289839e-05	-4.959994101375624e-05	-1.3971739300911421e-05	-8.852424552875646e-06	-0.00014113527227484945	-6.008764176096657e-05	-3.424924059993217e-05	-6.227425367834833e-05	-4.024936430832967e-06	-4.433039185227621e-06	-4.397030359931096e-05	-4.7124102465160405e-05	-8.157052861181887e-05	1.701006554146468e-05	-0.00013307954807154388	-7.104583618647712e-06	3.3267023477346537e-06	-4.252634422978129e-06	-0.00035820650168508976	-0.00013131583542771156	-9.697920455427561e-05	-2.3754171534412068e-05	-4.4386859753438085e-05	-6.672337942816332e-05	-0.00010915182144093148	-8.752436684914408e-05	-0.0001259338138551144	-0.001211514783982223
204.0	-8.391362865060375e-06	6.0347185177988945e-06	-9.22384288718136e-05	-8.69051149139996e-05	-5.94956600590106e-05	-5.5550584180296295e-05	-8.19767377885686e-06	-6.161891646723419e-05	-8.136780828767534e-05	-6.428807439003937e-05	-9.14410684332637e-06	-9.379789964192851e-05	-7.034539162147994e-06	-4.030642748530636e-05	-5.592151909980653e-05	-2.2353913953816773e-05	-1.1431186456931981e-05	-8.010048309790809e-06	-0.00012462561668792092	-7.409851476461312e-05	-5.7024118672940894e-05	-5.4252450007659474e-05	-3.2826910458104356e-05	-1.0626232269009738e-05	-7.002559287056351e-05	-5.642077626162731e-05	-0.0001096129294942786	-1.6734331088680434e-05	-0.00016818596873350195	-1.0522681805273862e-05	-3.2530109799333784e-05	-2.182558183909534e-05	-0.0002618414481019312	-0.0001329082082636427	-8.599099939813945e-05	-2.318982312808099e-05	-5.643989250625098e-05	-6.905602505183578e-05	-0.00012141681440312025	-8.064105757819666e-05	-0.0002913239696467852	-0.0016013549659377334
205.0	-7.2738621530282945e-06	6.432663484956e-06	-7.372957423311768e-05	-8.249817156256358e-05	-2.4503295371385186e-05	-5.102887598629124e-05	-8.0341513536935e-06	-5.198773359319829e-05	-7.174509600399035e-05	-6.744307834374571e-05	-7.003072025858369e-06	-9.054468322719394e-05	-4.435905352641609e-06	-3.707832650761787e-05	-4.7412350740092995e-05	-3.878579625285228e-05	-9.531934918810352e-06	-6.864876235684085e-06	-9.009892807612385e-05	-5.26368233599834e-05	-6.811217167135172e-05	-3.0418535281688785e-05	-3.59226716062323e-05	5.430194244499754e-06	-6.901487279104616e-05	-3.574240593283998e-05	-5.733869341889308e-05	-3.4463480489238185e-05	-0.0001480992433561307	-6.0020997472413795e-06	-2.5952199424861825e-05	-2.4631346552593014e-05	-0.00015552041080561373	-6.976104516207799e-05	-2.7876209243000228e-05	6.663114807159057e-06	-4.180654755651417e-05	-7.400115804634134e-05	-5.1316178945506174e-05	-2.391261740164402e-05	-0.0002846364033976047	-0.001257061019669452
206.0	-7.671471881112408e-06	8.252957874089685e-06	-3.898987783433493e-05	-6.87588775845561e-05	-5.0164362808977024e-05	-3.855519820972506e-05	-6.298831110983192e-06	-1.6542891218247562e-05	-7.261988802977973e-05	-4.073071153569488e-05	-6.014234225139628e-06	-5.6438162598940616e-05	-2.571732645190755e-06	-3.4495845725466995e-05	-5.081601808397841e-05	-2.9235642438028025e-05	-7.248501714944211e-06	-5.52974674399186e-06	-5.517167347417732e-05	-2.4532893951394394e-05	-4.528687418263388e-05	-3.1793231541301234e-05	-2.0002961661360745e-05	-4.891794228470657e-06	-4.3880011497527214e-05	-5.989758776839517e-06	1.8453626809971152e-06	-4.270489679718184e-05	-0.00012383214146421888	1.4590852398008796e-07	-6.105631265781597e-06	-3.809618941899527e-06	-0.0001132765996481273	-2.9720249064924582e-05	1.597686886607774e-05	3.602785161271261e-05	-4.276835063878667e-05	-8.166165212641833e-05	1.9206987596809093e-05	1.1129587362259888e-05	-0.00019876387886011242	-0.0005510352614722436
207.0	-7.561641418513884e-06	1.0620563059856215e-05	-6.518702593833552e-05	-5.683420733949284e-05	-6.952680460279671e-05	-6.381439570727128e-05	-3.994968007929775e-06	2.056188041870685e-05	-5.0312691372146615e-05	-6.386740719621157e-05	-5.5982212823488284e-06	-2.1122233920689387e-05	-1.6613863274726238e-06	-3.8046756800924515e-05	-3.720134870843715e-05	-1.842149767712446e-05	-4.061024098613567e-06	-4.400364799223302e-06	-2.9528121767795844e-05	-1.9239204707870274e-05	-3.660283632497198e-05	-3.901239887642361e-05	-1.3057370106347117e-05	-2.4833302514441516e-06	-2.9812756980665168e-05	2.4518540836311896e-06	-2.734186886737948e-06	-9.303951473744023e-05	-0.00011488078481398841	-4.479934692220822e-06	-1.8505754601766838e-05	-1.9610504433702742e-05	-0.00013926549194886098	-4.794858502693469e-05	-6.890918371971579e-07	3.230754434553028e-05	-6.80349670595915e-05	-8.63681292434428e-05	2.6927126185015624e-05	-2.5387763597836093e-06	-0.00020661689253686174	-6.9260719347234e-05
208.0	-6.46071814737203e-06	1.0527587132582857e-05	-9.764870945850919e-05	-6.46111661949683e-05	-5.94956600590106e-05	-6.459400056830683e-05	-2.7758452340330395e-06	3.96362754191982e-05	-3.8940395036882244e-05	-5.229905936595292e-05	-4.685705314980893e-06	-8.48918482180115e-06	-1.4956432486640451e-06	-3.723973155650216e-05	-3.847772396239418e-05	-3.1061407137920816e-05	-6.728646691829502e-07	-3.31183501417423e-06	-1.367289725363489e-05	-2.8274998724689406e-05	-3.839799400011424e-05	-1.643857365041618e-05	-1.1966179565817482e-05	2.1042201809868527e-06	-3.273060751414295e-05	-2.1268414163498826e-05	-3.413736005427002e-05	-0.00011392539428865751	-7.831570145431037e-05	-1.2425590616788702e-05	-3.430553777350779e-05	-2.6551080303933906e-05	-0.00019558423107019892	-3.438244432973442e-05	-3.400982709352992e-05	2.0381011822677606e-05	-7.361213234368209e-05	-6.704882479210109e-05	1.1431477148427902e-05	-1.6454998536654954e-05	-0.0002839055363437076	0.0001245257258022284
209.0	-4.793747247819955e-06	7.2747097658271545e-06	-5.265795510598769e-05	-8.223893960071387e-05	-3.9433370971438376e-05	-5.196440181953373e-05	-2.5604122246763985e-06	4.793324508861722e-05	-5.5998839539778485e-05	-3.715504038816012e-05	-2.903423109327249e-06	-4.194907948673185e-06	-9.010655543715673e-07	-2.3520302401325428e-05	-3.819408501707067e-05	-1.800016736176455e-05	1.6826313299547057e-06	-1.5403742185029404e-06	3.496402358134554e-05	-1.5021026002339368e-05	-9.269976511655419e-07	5.231662249610421e-05	-7.939523017108836e-07	9.329612112066368e-06	-2.334338074586365e-05	-3.801381620891831e-05	-4.507516947822363e-05	-4.402906805677881e-05	-3.2038995573398346e-06	-1.1106956354797853e-05	6.494145647589823e-06	-3.514275287847405e-06	-0.0001608367333527878	7.720426719725072e-05	-1.6958493308232848e-05	3.2462307921600546e-05	-2.36929208915715e-05	-3.053646923636265e-06	2.9438978924602368e-05	4.135752621473513e-05	-0.00024365646974845728	0.00039411901674436703
